id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,floor,property_type,city
6762818202,42495,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,122028,26.81557873,80.95587701,1400,3780,1,79,8794418,14,Flat,Lucknow
6762818253,42536,4,2.5,2050,6360,2,0,0,3,8,2050,0,1988,0,122011,17.53143065,78.37496473,2070,7541,1,67,10158457,0,House,Hyderabad
6762831191,42538,6,1,1370,5080,1.5,0,0,3,6,1120,250,1931,0,122034,27.09928387,75.81142344,1020,5080,2,63,6827075,8,Flat,Jaipur
6762810410,42561,8,2.75,4040,20666,1,0,0,4,9,2020,2020,1962,0,122048,22.6131534,88.25124067,3670,20500,3,55,28811832,2,House,Kolkata
6762819080,42523,3,1.75,1620,4200,1,0,0,5,7,830,790,1945,0,122006,19.04148762,73.06360226,1580,5000,2,50,11686389,5,Flat,Mumbai
6762831306,42606,3,1.5,1630,22764,1,0,0,3,7,1630,0,1970,0,122066,23.00120437,72.50688291,1620,17859,1,80,13015719,1,Bungalow,Ahmedabad
6762825028,42511,4,2.5,2052,3723,2,0,0,3,8,2052,0,2014,0,122040,22.61176603,88.27814213,2052,5250,1,73,8257432,7,Flat,Kolkata
6762812567,42517,4,2.5,3420,8405,2,0,0,3,10,3420,0,2000,0,122019,13.10207182,80.25701297,3230,8460,3,71,17068084,7,Flat,Chennai
6762828275,42669,3,2.5,3030,45004,2,0,0,3,9,3030,0,1987,0,122037,17.56416305,78.21355447,3080,35781,2,77,21338060,0,House,Hyderabad
6762819089,42545,3,1.5,1190,4750,1,0,0,3,7,970,220,1940,0,122026,26.70186172,75.85054151,1460,4750,3,75,4374616,2,House,Jaipur
6762814934,42550,4,2.25,2500,4046,1.5,0,0,4,7,1520,980,1940,0,122007,18.63549132,73.98740227,1410,4046,2,70,14492654,14,Flat,Pune
6762830901,42624,3,1,880,19600,1,0,0,4,7,880,0,1978,0,122018,26.75954185,75.85620561,880,10500,2,52,4912408,16,Flat,Jaipur
6762818889,42726,2,1,1310,4000,1,0,0,3,6,1310,0,1913,0,122028,12.86799931,77.73671619,1550,4000,2,77,7264632,18,Flat,Bengaluru
6762830804,42663,3,1.5,1210,10588,1,0,0,4,7,1210,0,1958,0,122072,26.76100152,75.68665289,1408,10588,1,53,6309786,10,Flat,Jaipur
6762821368,42732,3,2.25,3050,10689,2,0,0,4,9,3050,0,1988,0,122023,13.08377503,77.74267831,2697,10925,2,69,23888430,24,Flat,Bengaluru
6762813999,42572,4,2.5,2990,29170,2,0,3,3,9,2990,0,1999,0,122015,22.97078637,72.62632232,3715,29170,3,71,14195493,13,Flat,Ahmedabad
6762823498,42656,3,1.75,1350,155073,1,0,0,4,7,1350,0,1969,0,122024,26.98168741,80.92613865,1560,50965,3,73,14648989,15,Flat,Lucknow
6762814818,42624,4,2.75,2280,3200,1.5,0,0,5,8,1520,760,1931,0,122004,17.310287,78.38826509,1970,4687,2,72,12744643,16,Flat,Hyderabad
6762826052,42655,2,1,990,15120,1,0,0,4,6,990,0,1953,0,122017,22.90677756,72.54784541,1300,11500,1,64,5600375,9,Flat,Ahmedabad
6762829247,42649,3,1,930,6060,1,0,0,4,6,930,0,1973,0,122051,18.5788922,73.89816373,1640,6364,1,63,5471075,1,House,Pune
6762829376,42618,3,1.75,2090,12026,1,0,0,4,7,2090,0,1948,0,122072,27.00929619,81.0074186,1700,9496,2,72,6859238,21,Flat,Lucknow
6762824744,42649,5,2.25,3260,7969,2,0,0,4,8,3260,0,1982,0,122018,26.97527265,75.66541725,2070,7962,3,71,14431621,22,Flat,Jaipur
6762814824,42663,3,2.5,2320,98445,1,0,0,4,8,1380,940,1978,0,122021,27.06158188,80.86862542,2830,54014,3,70,19413000,19,Flat,Lucknow
6762831127,42602,3,1,840,5700,1,0,0,4,5,840,0,1945,0,122024,12.88284105,77.67959437,1430,12600,2,52,4822851,3,Flat,Bengaluru
6762812151,42533,4,2.25,2770,13500,2,0,0,3,8,2770,0,1974,0,122057,22.92990155,72.6601572,2300,13500,2,59,13677916,1,Bungalow,Ahmedabad
6762824538,42595,3,1.75,2200,11520,1,0,0,4,7,2200,0,1952,0,122038,22.60014607,88.3744219,1690,8038,2,53,12569534,0,House,Kolkata
6762813375,42637,4,3.5,3680,2242,2.5,0,0,3,9,2670,1010,1930,2007,122047,18.65224004,73.73151353,1350,1288,3,68,23419080,1,House,Pune
6762830987,42582,3,1.75,1350,7370,1,0,0,4,6,1350,0,1912,0,122051,13.05153587,80.34100748,1440,6000,3,63,7270600,18,Flat,Chennai
6762812098,42573,4,2.5,2580,3943,2,0,0,3,8,2580,0,2013,0,122010,18.40288473,73.74272944,1700,5772,1,62,17023324,2,House,Pune
6762818806,42596,2,1,920,4000,1,0,0,4,7,920,0,1906,0,122004,19.21031794,72.96991537,1300,4000,3,50,5957205,18,Flat,Mumbai
6762820466,42638,3,1.75,1300,4000,1,0,0,3,7,900,400,1953,0,122032,18.57587832,73.78862141,1750,4000,2,72,6280433,15,Flat,Pune
6762812073,42658,8,4,4020,7500,1,0,0,3,8,2010,2010,1968,0,122026,22.39697645,88.45123263,1560,3737,2,53,19702089,1,House,Kolkata
6762816669,42504,5,1.75,2000,3750,2,0,0,4,7,2000,0,1921,0,122028,22.45133443,88.44444853,1520,3750,1,79,13214048,0,Bungalow,Kolkata
6762830927,42683,3,2,1230,8235,1.5,0,0,3,6,1230,0,1959,0,122056,22.48835102,88.46630652,1080,10281,3,57,7666911,16,Flat,Kolkata
6762819970,42615,4,1,1420,6000,1.5,0,0,3,7,1420,0,1950,0,122006,23.02518344,72.4437307,1420,6180,1,75,6702998,11,Flat,Ahmedabad
6762813821,42733,3,2.5,2750,16000,2,0,0,4,9,2560,190,1981,0,122010,17.30291612,78.58373655,2370,11279,2,54,16427916,0,House,Hyderabad
6762816468,42540,3,2.75,3290,22649,2,0,0,4,8,3290,0,1993,0,122053,19.07526729,72.92763988,2750,6119,2,74,28807705,19,Flat,Mumbai
6762824911,42648,3,1.75,1320,10500,1,0,0,3,7,1320,0,1966,0,122033,22.41950695,88.31026826,1310,10500,2,76,7260387,2,House,Kolkata
6762825557,42517,4,2,1480,3132,1,0,0,5,6,740,740,1910,0,122059,27.09814352,75.75823946,1480,6420,1,66,7163383,6,Flat,Jaipur
6762829810,42550,2,1,900,28800,1,0,0,1,6,900,0,1928,0,122008,12.97895458,80.10666416,1360,7200,1,51,7321781,13,Flat,Chennai
6762819366,42603,2,2,1540,7110,1,0,0,3,7,960,580,1949,0,122007,26.8583845,75.83191619,1860,7065,3,80,8319764,2,House,Jaipur
6762823254,42539,3,2.25,1600,10240,1,0,0,3,7,1090,510,1979,0,122033,26.82320682,80.823415,1520,9394,3,53,6233048,0,House,Lucknow
6762814445,42509,4,2.5,2650,7945,2,0,0,3,9,2650,0,2006,0,122022,13.17832388,80.35493783,1200,7920,1,58,14716237,2,House,Chennai
6762818816,42672,2,1,1840,4322,1,0,0,4,7,1160,680,1914,0,122054,17.20111649,78.36599121,1750,4322,1,75,8707853,21,Flat,Hyderabad
6762826506,42658,1,0.75,770,4600,1,0,0,4,6,770,0,1910,0,122064,26.84574894,80.84127185,1550,4600,2,60,3882048,25,Flat,Lucknow
6762829667,42706,3,1.5,1890,9000,1,0,0,3,7,1190,700,1959,0,122070,17.41184784,78.20573151,2060,9000,1,57,8812724,24,Flat,Hyderabad
6762830496,42547,2,1,940,5040,1,0,0,3,7,940,0,1926,0,122064,27.06425716,75.62974587,940,5040,3,64,3766149,24,Flat,Jaipur
6762818994,42609,4,2,2730,12000,1,0,0,4,8,1410,1320,1998,0,122014,23.05969624,72.66574295,2730,9039,1,76,13951320,9,Flat,Ahmedabad
6762825799,42638,3,1.75,1590,9417,1,0,0,4,7,1590,0,1954,0,122050,26.88391041,80.88298258,1600,9272,1,68,8998266,21,Flat,Lucknow
6762823746,42697,2,1,960,5096,1,0,0,5,7,960,0,1949,0,122064,22.48811835,88.39465656,1760,4488,2,64,5360212,8,Flat,Kolkata
6762830343,42593,3,1.5,1200,12000,1,0,0,3,7,1200,0,1986,0,122039,13.0039834,77.64732624,1200,9405,2,73,8296575,4,Flat,Bengaluru
6762830137,42574,3,2.25,1470,6808,1,0,0,3,7,1160,310,1984,0,122018,17.28515443,78.29822331,1570,7881,1,71,10125706,0,House,Hyderabad
6762810310,42495,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,122048,23.17517312,72.53357059,2490,10279,1,68,22204287,17,Flat,Ahmedabad
6762825452,42557,3,2.5,1450,3748,2,0,0,3,7,1450,0,2004,0,122008,12.90630039,77.66260498,1970,3748,3,62,10953312,16,Flat,Bengaluru
6762811256,42649,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,122048,12.95149192,77.50146442,2370,8113,3,78,23306198,17,Flat,Bengaluru
6762831476,42508,2,1,930,4743,1,0,0,4,5,930,0,1942,0,122053,26.99119224,80.95894664,930,4779,2,61,4014765,18,Flat,Lucknow
6762825684,42734,3,1.75,1220,9732,1,0,0,3,7,1220,0,1965,0,122017,13.07118113,80.21547872,1630,10007,2,64,5900180,1,House,Chennai
6762812076,42699,3,1.5,2160,2260,2,0,2,5,8,1620,540,1917,0,122003,26.99483248,75.64850755,2570,2400,2,78,8788082,0,Bungalow,Jaipur
6762812216,42671,2,1,1530,6350,1.5,0,0,4,7,1530,0,1923,0,122047,17.24445313,78.40619143,2640,6350,2,76,6128795,5,Flat,Hyderabad
6762826061,42692,4,2.5,2280,9899,2,0,0,3,8,2280,0,1987,0,122046,22.94115388,72.55315741,1970,9451,3,56,12693015,19,Flat,Ahmedabad
6762810632,42606,4,4,4920,50621,2,0,0,3,10,4280,640,2012,0,122045,26.8647949,80.8435322,4920,74052,3,63,20692047,9,Flat,Lucknow
6762816967,42679,4,2.5,2520,35636,2,0,0,3,8,2520,0,1980,0,122045,17.58868876,78.30401038,2230,35673,3,71,18812827,19,Flat,Hyderabad
6762814821,42636,3,1.5,2510,3600,2.5,0,0,4,8,2510,0,1907,0,122047,28.5305892,77.06792064,1740,1885,3,53,13875114,10,Flat,Delhi
6762813553,42509,6,2,2150,4505,1,0,0,3,7,1270,880,1952,0,122003,27.06006424,75.85193979,1740,4505,2,54,9001465,7,Flat,Jaipur
6762812908,42608,3,2.5,2550,6240,1,0,3,5,8,1750,800,1957,0,122007,22.57240568,88.32426895,2180,5200,1,64,11892107,1,House,Kolkata
6762830558,42586,2,2,1190,7570,1,0,0,3,6,1190,0,1939,0,122052,18.4758683,73.81163288,1190,7635,3,70,5970564,2,House,Pune
6762818074,42608,4,2,1560,7104,1.5,0,0,3,7,1140,420,1945,0,122004,18.93890368,72.99877106,1850,7105,3,51,12728020,1,Bungalow,Mumbai
6762828525,42593,4,1.75,1670,8000,1,0,0,4,8,1670,0,1974,0,122018,28.5979834,77.29369284,1720,8000,3,58,11960039,15,Flat,Delhi
6762823408,42608,3,2.5,2370,4200,2,0,0,3,8,2370,0,2014,0,122024,28.46055994,77.22005176,2370,4200,1,72,12532891,17,Flat,Delhi
6762813494,42621,4,2.5,2990,5280,2,0,0,3,9,2210,780,2003,0,122012,18.95377669,72.81662828,2990,6299,2,72,17898330,1,House,Mumbai
6762823828,42505,4,2.5,2790,7956,2,0,0,3,9,2790,0,2005,0,122043,28.41336004,76.97105977,1660,8192,1,73,14798648,4,Flat,Delhi
6762812338,42634,4,2.5,2260,13600,1,0,0,4,8,1770,490,1974,0,122057,13.12115948,77.6254746,2630,13995,3,72,14583790,18,Flat,Bengaluru
6762815252,42565,4,2.5,3420,222156,2,0,0,3,9,3420,0,2002,0,122062,22.55393188,88.24197851,3340,222156,1,58,42304303,24,Flat,Kolkata
6762824738,42683,2,1,850,5225,1,0,0,3,7,850,0,1949,0,122064,28.56859673,77.22923559,1230,5225,1,66,5047613,1,House,Delhi
6762819392,42733,3,2.25,2100,3000,2,0,0,3,7,2100,0,1996,0,122054,18.85144045,72.77404674,1650,4500,2,62,17155086,0,Bungalow,Mumbai
6762829722,42564,2,1,710,14000,1,0,0,4,6,710,0,1953,0,122031,13.1066471,80.21991659,1500,10540,1,74,6262896,2,Bungalow,Chennai
6762830104,42585,3,1.5,1300,5000,1,0,0,4,7,900,400,1976,0,122018,22.66871793,88.48877853,1430,7500,1,55,6544179,2,House,Kolkata
6762823195,42621,3,2.25,2140,10256,2,0,0,3,8,2140,0,1987,0,122024,12.92181521,80.38151937,2040,11717,2,66,11436695,1,Flat,Chennai
6762829829,42622,5,1,1500,9282,1.5,0,0,5,6,1500,0,1966,0,122056,26.95981625,81.06800042,1520,9639,1,74,5754686,2,House,Lucknow
6762828199,42599,2,1,940,5000,1,0,0,3,6,940,0,1951,0,122064,26.76237906,81.02040725,940,5000,2,62,3256205,8,Flat,Lucknow
6762817604,42570,4,3.5,3820,17745,2,0,2,3,8,2440,1380,1955,0,122059,17.5811862,78.51544214,2520,9640,1,53,28768773,2,House,Hyderabad
6762811730,42525,4,4.25,5660,193593,2,0,0,3,10,4100,1560,2001,0,122055,28.50626795,76.89394411,3620,207141,3,63,64251107,19,Flat,Delhi
6762820109,42680,3,2.5,2560,16420,2,0,0,4,8,2560,0,1989,0,122041,13.12195779,77.52387289,2120,16298,1,79,12386359,7,Flat,Bengaluru
6762828945,42491,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,122043,26.97612306,81.08409338,1400,7500,3,56,6442584,2,House,Lucknow
6762824436,42609,3,1.75,1830,10000,2,0,0,4,7,1830,0,1913,1964,122055,18.50757782,73.95132318,1480,10000,2,72,9556705,10,Flat,Pune
6762821062,42532,5,1.75,2460,6846,1.5,0,0,5,7,1340,1120,1911,0,122059,22.39739503,88.44563657,1410,4800,2,77,14624907,23,Flat,Kolkata
6762828334,42572,4,2.25,2115,6234,2,0,0,3,7,2115,0,1998,0,122072,22.36164318,88.46759615,2440,6366,1,70,12116940,1,Bungalow,Kolkata
6762818332,42707,3,2.25,1240,1250,3,0,0,3,8,1240,0,2014,0,122026,18.57856143,73.70502752,1470,1250,3,72,7274905,2,House,Pune
6762825558,42524,4,2.75,2540,7210,1,0,0,4,7,1600,940,1979,0,122046,12.80071314,77.52214907,1820,7766,1,53,17175414,2,House,Bengaluru
6762822249,42535,3,1,1110,12150,1,0,0,4,7,1110,0,1957,0,122029,12.88435592,77.49707932,1490,8200,3,66,7879553,6,Flat,Bengaluru
6762824905,42638,4,1,1010,6000,1,0,0,3,6,750,260,1925,0,122016,23.1479058,72.63071298,1450,6000,1,50,6193548,2,Bungalow,Ahmedabad
6762830552,42568,2,1,1040,4590,1,0,0,3,7,1040,0,1954,0,122052,22.6173921,88.38914679,1040,6120,2,55,6505272,22,Flat,Kolkata
6762817020,42574,4,2.25,2150,9520,2,0,0,4,8,2150,0,1979,0,122005,23.11534794,72.56601342,2000,9520,2,59,9456728,3,Flat,Ahmedabad
6762822303,42592,3,2.75,3900,111514,2,0,0,3,6,3460,440,1967,2008,122036,13.06772456,80.26077219,2460,217800,1,53,33334414,25,Flat,Chennai
6762825083,42497,4,2.5,2460,7350,2,0,0,3,9,2460,0,1989,0,122018,27.04545681,75.74885442,2390,8568,2,76,11880303,2,Flat,Jaipur
6762824292,42718,2,1.5,1200,6380,1,0,0,3,7,1200,0,1929,0,122006,22.97607175,72.55907648,1290,6598,1,69,6484305,4,Flat,Ahmedabad
6762816486,42692,4,2.5,2100,3125,2,0,2,3,7,1400,700,1907,1993,122026,13.08410673,80.23844696,2060,5040,1,73,10380176,0,House,Chennai
6762827277,42691,2,2.5,1400,1262,2,0,0,3,8,1160,240,2008,0,122034,26.78163746,75.61752816,1060,1524,1,72,6679015,2,House,Jaipur
6762810771,42579,4,3.25,3470,11843,1,0,3,3,11,2270,1200,1989,0,122027,22.44639352,88.2624479,3910,13247,3,59,16630593,13,Flat,Kolkata
6762820788,42545,4,2.75,2310,5650,1,0,2,3,8,1330,980,1952,2012,122051,27.00007964,80.96415035,2300,5650,2,50,8225131,0,House,Lucknow
6762824176,42652,2,1.75,2510,19141,2,0,0,3,9,2510,0,1977,0,122023,28.83762157,77.03566802,2400,13030,2,66,15639304,2,House,Delhi
6762817137,42582,4,1.75,2400,21196,1,0,0,5,8,1590,810,1956,0,122031,19.19452287,72.97333736,2200,19134,1,51,18414606,20,Flat,Mumbai
6762829914,42539,3,1,1320,8450,1,0,0,3,6,880,440,1961,0,122018,23.07186086,72.58077619,1320,8450,2,65,7553326,1,House,Ahmedabad
6762817067,42585,5,1.75,2510,9750,1.5,0,0,3,8,2510,0,1969,0,122005,26.70429834,80.80227233,1900,9750,3,75,10342537,0,Bungalow,Lucknow
6762821394,42617,3,2.25,2100,205603,2,0,0,3,8,2100,0,1983,0,122069,22.30952227,88.48739377,2396,187308,3,66,47392411,20,Flat,Kolkata
6762811404,42721,4,2.5,2830,5932,2,0,0,3,9,2830,0,2014,0,122032,19.0570703,72.95705213,2840,5593,3,59,15270377,1,Flat,Mumbai
6762821608,42698,2,2,1400,10052,1,0,0,3,8,1400,0,1957,0,122022,27.03699817,80.82910669,1400,8785,1,56,6997753,2,House,Lucknow
6762831049,42539,3,2,1340,4320,1,0,0,3,5,920,420,1912,1993,122072,19.17873922,73.01463379,980,6480,1,59,8810446,1,House,Mumbai
6762829972,42599,3,1.75,1450,8378,1,0,0,4,8,1450,0,1978,0,122018,27.08545283,75.72822104,1860,8496,1,52,5612464,16,Flat,Jaipur
6762816828,42693,2,1,1040,3200,1,0,0,3,7,1040,0,1926,0,122028,28.43755676,77.1126629,1890,4000,2,52,5800937,20,Flat,Delhi
6762817313,42531,3,2.5,1990,3984,2,0,0,3,8,1990,0,2004,0,122020,22.39352911,88.21373383,2320,3984,3,54,7876426,2,House,Kolkata
6762818842,42677,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,122028,26.73345184,80.82322962,1450,4599,2,56,5526403,12,Flat,Lucknow
6762815595,42719,4,2.5,2930,8679,2,0,0,3,8,2930,0,2014,0,122053,17.45907295,78.32981092,2030,7264,2,52,14238916,1,Bungalow,Hyderabad
6762827954,42628,6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,122072,19.18759836,72.70401092,2060,7316,3,70,21591721,2,House,Mumbai
6762816209,42729,4,2.25,2260,11900,2,0,0,3,9,2260,0,1976,0,122019,18.54584392,73.75033613,2470,11900,3,72,14902253,0,Bungalow,Pune
6762817827,42536,3,2.5,1940,9775,1,0,2,3,8,1440,500,1975,0,122033,12.98694364,80.14941821,2830,9775,2,54,11648224,2,House,Chennai
6762824341,42721,2,1.5,1650,7311,1,0,0,3,7,860,790,1978,0,122038,22.97990555,72.55948212,1660,7255,1,56,7855162,0,House,Ahmedabad
6762823186,42662,3,2.5,1680,4075,2,0,0,3,7,1680,0,2008,0,122045,13.15473492,80.17462792,1710,4075,1,67,10603806,2,Bungalow,Chennai
6762823881,42614,3,2.5,1330,1064,3,0,0,3,8,1330,0,2004,0,122007,27.09420771,80.8485024,1330,1113,3,50,4409647,1,House,Lucknow
6762817800,42641,4,1.5,1520,5910,1,0,0,3,7,1020,500,1946,0,122006,26.80671186,75.82284275,1710,5910,2,63,6462214,22,Flat,Jaipur
6762826268,42566,3,2.5,1820,6400,2,0,0,3,8,1570,250,2008,0,122031,26.81905125,75.64660202,1470,6900,2,56,6826313,4,Flat,Jaipur
6762813151,42614,2,2.5,2390,6928,2,0,3,4,8,1810,580,1949,1982,122052,18.48562441,73.96513497,2390,12852,2,59,13642543,1,Flat,Pune
6762829506,42713,3,1.75,1720,9342,1,0,0,4,7,1140,580,1981,0,122023,13.1065236,80.22317402,1330,7540,3,57,10291972,17,Flat,Chennai
6762826288,42659,4,2.5,1970,4558,2,0,0,3,8,1970,0,2005,0,122024,26.86285191,75.86453063,1980,5123,1,80,10591487,0,Bungalow,Jaipur
6762830045,42547,2,1.75,1110,1773,2,0,0,3,8,1110,0,2014,0,122059,26.94801989,80.96293045,1420,2855,1,58,5723797,0,Bungalow,Lucknow
6762815990,42509,4,2.75,2820,13193,1,0,0,3,8,1860,960,1965,0,122027,22.52350342,88.46433968,2580,13193,3,60,13168105,1,Flat,Kolkata
6762823207,42601,3,3.25,1600,1289,3,0,0,3,8,1600,0,1998,0,122007,22.93919598,72.58875666,1600,1376,2,51,5701640,16,Flat,Ahmedabad
6762828607,42499,4,1,1940,9533,1,0,0,3,7,1080,860,1962,0,122067,22.61401202,88.3214193,1940,8839,2,63,8175942,2,House,Kolkata
